"NBNORG0000008316","NBNSYS0000170907"
"NBNORG0000008331","NBNSYS0000168722"
"NBNORG0000008361","NBNSYS0000167387"
"NBNORG0000008364","NBNSYS0000171276"
"NBNORG0000008369","NBNSYS0000168281"
"NBNORG0000025169","NBNSYS0000167386"
"NBNORG0000008371","NBNSYS0000168380"
"NBNORG0000008440","NBNSYS0000169402"
"NBNORG0000008437","NBNSYS0000167178"
"NBNORG0000008438","NBNSYS0000169064"
"NBNORG0000008458","NBNSYS0000171998"
"NBNORG0000008464","NHMSYS0000841495"
"NBNORG0000008468","NBNSYS0000165889"
"NBNORG0000008467","NBNSYS0000166209"
"NBNORG0000008457","NBNSYS0000166321"
"NBNORG0000008472","NBNSYS0000166650"
"NBNORG0000008482","NBNSYS0000168912"
"NBNORG0000008483","NHMSYS0000841488"
"NBNORG0000008485","NBNSYS0000169010"
"NBNORG0000008484","NBNSYS0000167602"
"NBNORG0000008490","NBNSYS0000170699"
"NBNORG0000008492","NBNSYS0000171172"
"NBNORG0000008586","NBNSYS0000167208"
"NBNORG0000008588","NBNSYS0000167390"
"NBNORG0000008589","NHMSYS0000841708"
"NBNORG0000008604","NBNSYS0000164757"
"NBNORG0000008590","NBNSYS0000170604"
"NBNORG0000008599","NBNSYS0000166665"
"NBNORG0000008603","NBNSYS0000166244"
"NBNORG0000008613","NBNSYS0000169844"
"NBNORG0000008614","NBNSYS0000172071"
"NBNORG0000008609","NBNSYS0000165556"
"NBNORG0000008619","NBNSYS0000165744"
"NBNORG0000008623","NHMSYS0000841851"
"NBNORG0000008637","NHMSYS0000841795"
"NBNORG0000008638","NBNSYS0000170760"
"NBNORG0000008634","NBNSYS0000167141"
"NBNORG0000008632","NBNSYS0000167405"
"NBNORG0000008640","NBNSYS0000164729"
"NBNORG0000008642","NHMSYS0000841485"
"NBNORG0000008645","NBNSYS0100001263"
"NBNORG0000008536","NBNSYS0000169017"
"NBNORG0000008542","NBNSYS0000169415"
"NBNORG0000008539","NBNSYS0000168706"
"NBNORG0000008556","NBNSYS0000167279"
"NBNORG0000008558","NBNSYS0000164738"
"NBNORG0000008585","NBNSYS0000166913"
"NBNORG0000008567","NBNSYS0000165786"
"NBNORG0000008579","NBNSYS0000165656"
"NBNORG0000008521","NBNSYS0000165968"
"NBNORG0000008522","NBNSYS0000167179"
"NBNORG0000008524","NBNSYS0000169626"
"NBNORG0000008501","NBNSYS0000170049"
"NBNORG0000008494","NBNSYS0000166165"
"NBNORG0000024232","NBNSYS0000171136"
"NBNORG0000007115","NHMSYS0000841976"
"NBNORG0000007116","NBNSYS0000169033"
"NBNORG0000007130","NBNSYS0000166856"
"NBNORG0000007139","NBNSYS0000170680"
"NBNORG0000007140","NBNSYS0000167318"
"NBNORG0000007142","NBNSYS0000166355"
"NBNORG0000007145","NBNSYS0000169243"
"NBNORG0000007254","NBNSYS0000168589"
"NBNORG0000007187","NBNSYS0000171288"
"NBNORG0000007193","NBNSYS0000171281"
"NBNORG0000007206","NBNSYS0000170787"
"NBNORG0000007208","NBNSYS0000166368"
"NBNORG0000007265","NBNSYS0000167623"
"NBNORG0000007272","NBNSYS0000166000"
"NBNORG0000007270","NBNSYS0000171393"
"NBNORG0000007271","NBNSYS0000170408"
"NBNORG0000054930","NBNSYS0000166991"
"NBNORG0000007274","NBNSYS0000167115"
"NBNORG0000007275","NBNSYS0000165550"
"NBNORG0000007279","NBNSYS0000167343"
"NBNORG0000007316","NBNSYS0000167420"
